Code,Description,HasRain,HasClouds,HasStorm,HasWind,HasSnow,Severity
0,tornado,1,1,1,1,0,4
1,tropical storm,1,1,1,1,0,4
2,hurricane,1,1,1,1,0,4
3,severe thunderstorms,1,1,1,1,0,4
4,thunderstorms,1,1,1,1,0,3
5,mixed rain and snow,1,1,0,0,1,2
6,mixed rain and sleet,1,1,0,0,1,2
7,mixed snow and sleet,0,1,0,0,1,2
8,freezing drizzle,1,1,0,0,1,3
9,drizzle,1,1,0,0,0,1
10,freezing rain,1,1,0,0,0,3
11,showers,1,1,0,0,0,1
12,showers,1,1,0,0,0,1
13,snow flurries,0,1,0,1,1,1
14,light snow showers,0,1,0,0,1,1
15,blowing snow,0,1,0,1,1,3
16,snow,0,0,0,0,1,1
17,hail,1,1,0,0,1,2
18,sleet,1,1,0,0,1,2
19,dust,0,0,0,1,0,2
20,foggy,0,1,0,0,0,2
21,haze,0,1,0,0,0,2
22,smoky,0,1,0,0,0,2
23,blustery,0,0,0,1,0,1
24,windy,0,0,0,1,0,1
25,cold,0,0,0,0,0,2
26,cloudy,0,1,0,0,0,0
27,mostly cloudy (night),0,1,0,0,0,0
28,mostly cloudy (day),0,1,0,0,0,0
29,partly cloudy (night),0,1,0,0,0,0
30,partly cloudy (day),0,1,0,0,0,0
31,clear (night),0,1,0,0,0,0
32,sunny,0,0,0,0,0,0
33,fair (night),0,0,0,0,0,0
34,fair (day),0,0,0,0,0,0
35,mixed rain and hail,1,1,0,0,1,2
36,hot,0,0,0,0,0,2
37,isolated thunderstorms,1,1,1,1,0,2
38,scattered thunderstorms,1,1,1,1,0,2
39,scattered thunderstorms,1,1,1,1,0,2
40,scattered showers,1,1,0,0,0,1
41,heavy snow,0,0,0,0,1,2
42,scattered snow showers,0,0,0,0,1,1
43,heavy snow,0,0,0,0,1,2
44,partly cloudy,0,1,0,0,0,0
45,thundershowers,1,1,1,1,0,3
46,snow showers,0,0,0,0,1,1
47,isolated thundershowers,1,1,1,1,0,3
3200,not available,0,0,0,0,0,-1
